"x"
"Creagrutus ouranonastes"
"Creagrutus pearsoni"
"Creagrutus peruanus"
"Creagrutus petilus"
"Creagrutus phasma"
"Creagrutus pila"
"Creagrutus runa"
"Creagrutus saxatilis"
"Creagrutus seductus"
"Creagrutus tuyuka"
"Creagrutus ungulus"
"Creagrutus vexillapinnus"
"Creagrutus yanatili"
"Creagrutus yudja"
"Creagrutus zephyrus"
"Crenicara latruncularium"
"Crenicara punctulata"
"Crenicara punctulatum"
"Crenicichla acutirostris"
"Crenicichla adspersa"
"Crenicichla alta"
"Crenicichla anamiri"
"Crenicichla anthurus"
"Crenicichla cametana"
"Crenicichla chicha"
"Crenicichla cincta"
"Crenicichla compressiceps"
"Crenicichla cyanonotus"
"Crenicichla cyclostoma"
"Crenicichla dandara"
"Crenicichla heckeli"
"Crenicichla hemera"
"Crenicichla hummelincki"
"Crenicichla inpa"
"Crenicichla isbrueckeri"
"Crenicichla jegui"
"Crenicichla johanna"
"Crenicichla labrina"
"Crenicichla lenticulata"
"Crenicichla lepidota"
"Crenicichla lucius"
"Crenicichla lugubris"
"Crenicichla macrophthalma"
"Crenicichla marmorata"
"Crenicichla monicae"
"Crenicichla notophthalmus"
"Crenicichla pellegrini"
"Crenicichla percna"
"Crenicichla phaiospilus"
"Crenicichla ploegi"
"Crenicichla proteus"
"Crenicichla pydanielae"
"Crenicichla regani"
"Crenicichla reticulata"
"Crenicichla rosemariae"
"Crenicichla santosi"
"Crenicichla saxatilis"
"Crenicichla sedentaria"
"Crenicichla semicincta"
"Crenicichla stocki"
"Crenicichla strigata"
"Crenicichla tigrina"
"Crenicichla urosema"
"Crenicichla virgatula"
"Crenicichla wallacii"
"Crenuchus spilurus"
"Cteniloricaria napova"
"Ctenobrycon hauxwellianus"
"Ctenobrycon spilurus"
"Ctenocheirodon pristis"
"Curculionichthys hera"
"Curculionichthys itaim"
"Curculionichthys jumaorum"
"Curculionichthys karipuna"
"Curculionichthys luteofrenatus"
"Curculionichthys sabaji"
"Curculionichthys scaius"
"Curculionichthys tukana"
"Curimata acutirostris"
"Curimata aspera"
"Curimata cisandina"
"Curimata cyprinoides"
"Curimata incompta"
"Curimata inornata"
"Curimata knerii"
"Curimata ocellata"
"Curimata roseni"
"Curimata vittata"
"Curimatella alburna"
"Curimatella dorsalis"
"Curimatella immaculata"
"Curimatella meyeri"
"Curimatopsis crypticus"
"Curimatopsis evelynae"
"Curimatopsis guaporensis"
"Curimatopsis jaci"
"Curimatopsis macrolepis"
"Curimatopsis maculosa"
"Curimatopsis melanura"
"Curimatopsis microlepis"
"Curimatopsis pallida"
"Cyanogaster noctivaga"
"Cynodon gibbus"
"Cynodon septenarius"
"Cynolebias griseus"
"Cynopotamus amazonum"
"Cynopotamus bipunctatus"
"Cynopotamus gouldingi"
"Cynopotamus juruenae"
"Cynopotamus tocantinensis"
